"year","ID","Scenario","variable","value"
16,"1538394459762","Baseline","COPD2",12040
17,"1538394459762","Baseline","COPD2",12020
18,"1538394459762","Baseline","COPD2",12011
19,"1538394459762","Baseline","COPD2",12021
20,"1538394459762","Baseline","COPD2",11937
21,"1538394459762","Baseline","COPD2",11801
22,"1538394459762","Baseline","COPD2",11653
23,"1538394459762","Baseline","COPD2",11482
24,"1538394459762","Baseline","COPD2",11275
25,"1538394459762","Baseline","COPD2",11115
26,"1538394459762","Baseline","COPD2",11004
27,"1538394459762","Baseline","COPD2",10765
28,"1538394459762","Baseline","COPD2",10498
29,"1538394459762","Baseline","COPD2",10240
30,"1538394459762","Baseline","COPD2",10093
31,"1538394459762","Baseline","COPD2",9803
32,"1538394459762","Baseline","COPD2",9571
33,"1538394459762","Baseline","COPD2",9346
34,"1538394459762","Baseline","COPD2",9045
35,"1538394459762","Baseline","COPD2",8847
36,"1538394459762","Baseline","COPD2",8497
37,"1538394459762","Baseline","COPD2",8317
38,"1538394459762","Baseline","COPD2",8190
39,"1538394459762","Baseline","COPD2",7990
40,"1538394459762","Baseline","COPD2",7802
41,"1538394459762","Baseline","COPD2",7622
42,"1538394459762","Baseline","COPD2",7451
43,"1538394459762","Baseline","COPD2",7327
44,"1538394459762","Baseline","COPD2",7304
45,"1538394459762","Baseline","COPD2",7251
46,"1538394459762","Baseline","COPD2",7191
47,"1538394459762","Baseline","COPD2",7044
48,"1538394459762","Baseline","COPD2",6914
49,"1538394459762","Baseline","COPD2",6820
0,"1538394449543","Baseline","COPD2pc",0
1,"1538394449543","Baseline","COPD2pc",11.2686094393411
2,"1538394449543","Baseline","COPD2pc",11.2814418696772
3,"1538394449543","Baseline","COPD2pc",11.3146274331201
4,"1538394449543","Baseline","COPD2pc",11.3904754362868
5,"1538394449543","Baseline","COPD2pc",11.4023111322173
6,"1538394449543","Baseline","COPD2pc",11.4479611190138
7,"1538394449543","Baseline","COPD2pc",11.488242910658
8,"1538394449543","Baseline","COPD2pc",11.582721732173
9,"1538394449543","Baseline","COPD2pc",11.6123295791346
10,"1538394449543","Baseline","COPD2pc",11.6679826292933
11,"1538394449543","Baseline","COPD2pc",11.6379480304404
12,"1538394449543","Baseline","COPD2pc",11.7310994020484
13,"1538394449543","Baseline","COPD2pc",11.7562914952598
14,"1538394449543","Baseline","COPD2pc",11.7408507405251
